cer,thal,neo,directP,indirectBootLLCI,indirectBootULCI,a_pval,b_pval,linmod_pval
Left_V,Right_VM,R_postCingMean,0.92899,-2.00E-06,3.00E-06,0.000034,0.568493,0.749403703
Left_V,Right_VM,R_tpjMean,0.940522,-3.00E-06,1.00E-06,0.000034,0.514928,0.690188072
Left_V,Right_CL,R_somatoMean,0.458041,0,4.00E-06,0.032714,0.000357,0.61407534
Left_V,Right_CL,R_antCingMean,0.463492,-1.00E-06,3.00E-06,0.032714,0.14834,0.797200155
Left_V,Right_CL,R_earlyAudMean,0.050283,0,3.00E-06,0.032714,0.016516,0.245827434
Left_V,Right_CL,R_assocAudMean,0.844115,0,2.00E-06,0.032714,0.015641,0.305722237
Left_V,Right_CL,R_insOperMean,0.252387,0,3.00E-06,0.032714,0.010949,0.792898243
Left_V,Right_CL,R_postCingMean,0.711717,0,2.00E-06,0.032714,0.046475,0.749403703
Left_V,Right_CL,R_tpjMean,0.357176,0,2.00E-06,0.032714,0.110819,0.690188072
Left_V,Right_PuL,R_somatoMean,0.613963,0,6.00E-06,0.000149,0.100418,0.61407534
Left_V,Right_PuL,R_antCingMean,0.666129,-2.00E-06,3.00E-06,0.000149,0.692454,0.797200155
Left_V,Right_PuL,R_earlyAudMean,0.015326,0,7.00E-06,0.000149,0.011238,0.245827434
Left_V,Right_PuL,R_assocAudMean,0.619015,-1.00E-06,3.00E-06,0.000149,0.531004,0.305722237
Left_V,Right_PuL,R_insOperMean,0.533187,-1.00E-06,4.00E-06,0.000149,0.466334,0.792898243
Left_V,Right_PuL,R_postCingMean,0.89671,-2.00E-06,2.00E-06,0.000149,0.813085,0.749403703
Left_V,Right_PuL,R_tpjMean,0.978788,-2.00E-06,1.00E-06,0.000149,0.525966,0.690188072
Left_V,Right_Pt,R_antCingMean,0.768146,-4.00E-06,4.00E-06,0.000001,0.873088,0.797200155
Left_V,Right_Pt,R_assocAudMean,0.882882,-1.00E-06,4.00E-06,0.000001,0.18178,0.305722237
Left_V,Right_Pt,R_insOperMean,0.315717,-2.00E-06,6.00E-06,0.000001,0.232641,0.792898243
Left_V,Right_Pt,R_postCingMean,0.567077,-1.00E-06,4.00E-06,0.000001,0.235651,0.749403703
Left_V,Right_Pt,R_tpjMean,0.679969,-2.00E-06,3.00E-06,0.000001,0.855877,0.690188072
Left_V,Right_AV,R_antCingMean,0.772232,-6.00E-06,3.00E-06,0.000023,0.421271,0.797200155
Left_V,Right_AV,R_earlyAudMean,0.000795,0,8.00E-06,0.000023,0.000177,0.245827434
Left_V,Right_AV,R_assocAudMean,0.900305,-1.00E-06,3.00E-06,0.000023,0.258209,0.305722237
Left_V,Right_AV,R_insOperMean,0.143917,-1.00E-06,6.00E-06,0.000023,0.043448,0.792898243
Left_V,Right_AV,R_postCingMean,0.587078,-1.00E-06,4.00E-06,0.000023,0.194568,0.749403703
Left_V,Right_AV,R_tpjMean,0.779502,-1.00E-06,2.00E-06,0.000023,0.95811,0.690188072
Left_V,Right_Pc,R_somatoMean,0.861954,-1.00E-06,5.00E-06,0.000105,0.303076,0.61407534
Left_V,Right_Pc,R_antCingMean,0.513459,-6.00E-06,0,0.000105,0.13166,0.797200155
Left_V,Right_Pc,R_earlyAudMean,0.076072,-1.00E-06,5.00E-06,0.000105,0.147922,0.245827434
Left_V,Right_Pc,R_assocAudMean,0.249508,-2.00E-06,2.00E-06,0.000105,0.573182,0.305722237
Left_V,Right_Pc,R_insOperMean,0.992967,-2.00E-06,2.00E-06,0.000105,0.695916,0.792898243
Left_V,Right_Pc,R_postCingMean,0.500322,-2.00E-06,1.00E-06,0.000105,0.467414,0.749403703
Left_V,Right_Pc,R_tpjMean,0.607236,-3.00E-06,1.00E-06,0.000105,0.141463,0.690188072
Left_V,Right_VLp,R_somatoMean,0.459752,0,7.00E-06,0.000031,0.06037,0.61407534
Left_V,Right_VLp,R_antCingMean,0.973099,-4.00E-06,2.00E-06,0.000031,0.694901,0.797200155
Left_V,Right_VLp,R_earlyAudMean,0.010524,0,7.00E-06,0.000031,0.008482,0.245827434
Left_V,Right_VLp,R_assocAudMean,0.438463,-2.00E-06,2.00E-06,0.000031,0.954588,0.305722237
Left_V,Right_VLp,R_insOperMean,0.751721,-2.00E-06,4.00E-06,0.000031,0.855694,0.792898243
Left_V,Right_VLp,R_postCingMean,0.761448,-2.00E-06,2.00E-06,0.000031,0.931239,0.749403703
Left_V,Right_VLp,R_tpjMean,0.748692,-3.00E-06,1.00E-06,0.000031,0.29218,0.690188072
Left_V,Right_LP,R_somatoMean,0.338018,0,5.00E-06,0.00343,0.002023,0.61407534
Left_V,Right_LP,R_earlyAudMean,0.046879,0,4.00E-06,0.00343,0.03934,0.245827434
Left_V,Right_LP,R_assocAudMean,0.732945,-1.00E-06,2.00E-06,0.00343,0.191295,0.305722237
Left_V,Right_LP,R_insOperMean,0.343605,-1.00E-06,4.00E-06,0.00343,0.116235,0.792898243
Left_V,Right_LP,R_postCingMean,0.896683,-1.00E-06,2.00E-06,0.00343,0.354976,0.749403703
Left_V,Right_LP,R_tpjMean,0.415488,0,2.00E-06,0.00343,0.305706,0.690188072
Left_V,Right_LD,R_somatoMean,0.91982,-1.00E-06,4.00E-06,0.329658,0.000044,0.61407534
Left_V,Right_LD,R_antCingMean,0.406002,-1.00E-06,3.00E-06,0.329658,0.001135,0.797200155
Left_V,Right_LD,R_earlyAudMean,0.105082,-1.00E-06,3.00E-06,0.329658,0.012168,0.245827434
Left_V,Right_LD,R_assocAudMean,0.571914,-1.00E-06,3.00E-06,0.329658,0.000166,0.305722237
Left_V,Right_LD,R_insOperMean,0.415125,-1.00E-06,3.00E-06,0.329658,0.001629,0.792898243
Left_V,Right_LD,R_postCingMean,0.894595,-1.00E-06,3.00E-06,0.329658,0.003603,0.749403703
Left_V,Right_LD,R_tpjMean,0.410366,0,3.00E-06,0.329658,0.012927,0.690188072
Left_VI,Right_LGN,R_somatoMean,0.67132,0,2.00E-06,0.000211,0.110795,0.588243844
Left_VI,Right_LGN,R_antCingMean,0.118246,0,3.00E-06,0.000211,0.076864,0.488299241
Left_VI,Right_LGN,R_earlyAudMean,0.152526,0,1.00E-06,0.000211,0.403776,0.238668613
Left_VI,Right_LGN,R_assocAudMean,0.647577,0,2.00E-06,0.000211,0.034628,0.404201154
Left_VI,Right_LGN,R_insOperMean,0.162398,0,2.00E-06,0.000211,0.118033,0.523788839
Left_VI,Right_LGN,R_postCingMean,0.533124,0,1.00E-06,0.000211,0.443158,0.807133073
Left_VI,Right_LGN,R_tpjMean,0.023577,0,2.00E-06,0.000211,0.007482,0.377227128
Left_VI,Right_MGN,R_somatoMean,0.88871,-1.00E-06,1.00E-06,0.001951,0.475945,0.588243844
Left_VI,Right_MGN,R_antCingMean,0.307686,0,2.00E-06,0.001951,0.3791,0.488299241
Left_VI,Right_MGN,R_earlyAudMean,0.134457,-1.00E-06,1.00E-06,0.001951,0.320502,0.238668613
Left_VI,Right_MGN,R_assocAudMean,0.67988,0,1.00E-06,0.001951,0.494832,0.404201154
Left_VI,Right_MGN,R_insOperMean,0.320425,-1.00E-06,1.00E-06,0.001951,0.355038,0.523788839
Left_VI,Right_MGN,R_postCingMean,0.391705,0,1.00E-06,0.001951,0.176388,0.807133073
Left_VI,Right_MGN,R_tpjMean,0.172589,0,1.00E-06,0.001951,0.212561,0.377227128
Left_VI,Right_PuI,R_somatoMean,0.715745,0,2.00E-06,0.000037,0.183629,0.588243844
Left_VI,Right_PuI,R_antCingMean,0.290298,0,2.00E-06,0.000037,0.395718,0.488299241
Left_VI,Right_PuI,R_earlyAudMean,0.102457,0,2.00E-06,0.000037,0.242837,0.238668613
Left_VI,Right_PuI,R_assocAudMean,0.509703,-1.00E-06,1.00E-06,0.000037,0.997482,0.404201154
Left_VI,Right_PuI,R_insOperMean,0.616475,-1.00E-06,1.00E-06,0.000037,0.994461,0.523788839
Left_VI,Right_PuI,R_postCingMean,0.833223,-1.00E-06,1.00E-06,0.000037,0.976819,0.807133073
Left_VI,Right_PuI,R_tpjMean,0.309602,-1.00E-06,1.00E-06,0.000037,0.595179,0.377227128
Left_VI,Right_PuM,R_somatoMean,0.620722,0,2.00E-06,0.000914,0.054256,0.588243844
Left_VI,Right_PuM,R_antCingMean,0.352332,-1.00E-06,1.00E-06,0.000914,0.500162,0.488299241
Left_VI,Right_PuM,R_earlyAudMean,0.031328,0,2.00E-06,0.000914,0.027431,0.238668613
Left_VI,Right_PuM,R_assocAudMean,0.669921,0,1.00E-06,0.000914,0.55675,0.404201154
Left_VI,Right_PuM,R_insOperMean,0.419346,0,1.00E-06,0.000914,0.599548,0.523788839
Left_VI,Right_PuM,R_postCingMean,0.661768,0,1.00E-06,0.000914,0.647052,0.807133073
Left_VI,Right_PuM,R_tpjMean,0.312803,0,1.00E-06,0.000914,0.610573,0.377227128
Left_VI,Right_L_Sg,R_somatoMean,0.662553,-1.00E-06,1.00E-06,0.001794,0.941387,0.588243844
Left_VI,Right_L_Sg,R_antCingMean,0.330693,-1.00E-06,2.00E-06,0.001794,0.436515,0.488299241
Left_VI,Right_L_Sg,R_earlyAudMean,0.139848,-1.00E-06,1.00E-06,0.001794,0.342528,0.238668613
Left_VI,Right_L_Sg,R_assocAudMean,0.38041,-1.00E-06,0,0.001794,0.748067,0.404201154
Left_VI,Right_L_Sg,R_insOperMean,0.561377,-1.00E-06,1.00E-06,0.001794,0.955763,0.523788839
Left_VI,Right_L_Sg,R_postCingMean,0.778147,-1.00E-06,1.00E-06,0.001794,0.883262,0.807133073
Left_VI,Right_L_Sg,R_tpjMean,0.261432,0,1.00E-06,0.001794,0.454577,0.377227128
Left_VI,Right_VPL,R_somatoMean,0.406436,0,3.00E-06,0.000033,0.037436,0.588243844
Left_VI,Right_VPL,R_antCingMean,0.489194,-1.00E-06,2.00E-06,0.000033,0.809445,0.488299241
Left_VI,Right_VPL,R_earlyAudMean,0.00352,0,3.00E-06,0.000033,0.001659,0.238668613
Left_VI,Right_VPL,R_assocAudMean,0.689332,-1.00E-06,1.00E-06,0.000033,0.662606,0.404201154
Left_VI,Right_VPL,R_insOperMean,0.310647,0,2.00E-06,0.000033,0.396685,0.523788839
Left_VI,Right_VPL,R_postCingMean,0.471954,-1.00E-06,1.00E-06,0.000033,0.382744,0.807133073
Left_VI,Right_VPL,R_tpjMean,0.45144,-1.00E-06,1.00E-06,0.000033,0.926212,0.377227128
Left_VI,Right_CM,R_somatoMean,0.359274,0,3.00E-06,0.000099,0.018432,0.588243844
Left_VI,Right_CM,R_antCingMean,0.84777,-2.00E-06,1.00E-06,0.000099,0.512306,0.488299241
Left_VI,Right_CM,R_earlyAudMean,0.003075,0,3.00E-06,0.000099,0.000967,0.238668613
Left_VI,Right_CM,R_assocAudMean,0.817742,-1.00E-06,1.00E-06,0.000099,0.427481,0.404201154
Left_VI,Right_CM,R_insOperMean,0.261983,-1.00E-06,2.00E-06,0.000099,0.29215,0.523788839
Left_VI,Right_CM,R_postCingMean,0.462946,-1.00E-06,1.00E-06,0.000099,0.349828,0.807133073
Left_VI,Right_CM,R_tpjMean,0.542719,-1.00E-06,1.00E-06,0.000099,0.847629,0.377227128
Left_VI,Right_VLa,R_somatoMean,0.552799,0,3.00E-06,0.000051,0.082013,0.588243844
Left_VI,Right_VLa,R_antCingMean,0.918469,-2.00E-06,0,0.000051,0.440168,0.488299241
Left_VI,Right_VLa,R_earlyAudMean,0.013518,0,3.00E-06,0.000051,0.012096,0.238668613
Left_VI,Right_VLa,R_assocAudMean,0.470627,-1.00E-06,1.00E-06,0.000051,0.92479,0.404201154
Left_VI,Right_VLa,R_insOperMean,0.411006,-1.00E-06,2.00E-06,0.000051,0.594541,0.523788839
Left_VI,Right_VLa,R_postCingMean,0.819342,-1.00E-06,1.00E-06,0.000051,0.954398,0.807133073
Left_VI,Right_VLa,R_tpjMean,0.914755,-1.00E-06,0,0.000051,0.303141,0.377227128
Left_VI,Right_PuA,R_somatoMean,0.714918,0,2.00E-06,0.000291,0.127787,0.588243844
Left_VI,Right_PuA,R_antCingMean,0.85226,-2.00E-06,1.00E-06,0.000291,0.462252,0.488299241
Left_VI,Right_PuA,R_earlyAudMean,0.01324,0,3.00E-06,0.000291,0.007986,0.238668613
Left_VI,Right_PuA,R_assocAudMean,0.598309,0,1.00E-06,0.000291,0.751173,0.404201154
Left_VI,Right_PuA,R_insOperMean,0.440867,0,1.00E-06,0.000291,0.655113,0.523788839
Left_VI,Right_PuA,R_postCingMean,0.879083,-1.00E-06,1.00E-06,0.000291,0.924202,0.807133073
Left_VI,Right_PuA,R_tpjMean,0.56223,-1.00E-06,1.00E-06,0.000291,0.767908,0.377227128
Left_VI,Right_MDm,R_somatoMean,0.231093,0,4.00E-06,0,0.032743,0.588243844
Left_VI,Right_MDm,R_antCingMean,0.634834,-4.00E-06,1.00E-06,0,0.192517,0.488299241
Left_VI,Right_MDm,R_earlyAudMean,0.003617,0,4.00E-06,0,0.004445,0.238668613
Left_VI,Right_MDm,R_assocAudMean,0.599112,-1.00E-06,1.00E-06,0,0.954469,0.404201154
Left_VI,Right_MDm,R_insOperMean,0.250752,-1.00E-06,3.00E-06,0,0.325122,0.523788839
Left_VI,Right_MDm,R_postCingMean,0.700678,-1.00E-06,2.00E-06,0,0.763268,0.807133073
